Unnamed: 0,AMBROSIA,tavg,wspd,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
1358,0.0,7.2,3.6,1020.0,0,0,0,0,0,1,0,2016,2,1
1359,0.0,9.3,2.9,1024.1,0,0,0,0,0,1,0,2016,2,2
1360,0.0,7.7,8.049999999999999,1020.3499999999999,0,0,0,0,0,1,0,2016,2,3
1361,0.0,6.1,13.2,1016.6,0,0,0,0,0,1,0,2016,2,4
1362,0.0,1.7,9.399999999999999,1024.7,0,0,0,0,0,1,0,2016,2,5
1363,0.0,3.2,5.6,1030.6,0,0,0,0,0,1,0,2016,2,6
1364,0.0,6.3,19.1,1024.3,0,0,0,0,0,1,0,2016,2,7
1365,0.0,7.6,19.1,1021.0,0,0,0,0,0,1,0,2016,2,8
1366,0.0,10.6,11.3,1016.3,0,0,0,0,0,1,0,2016,2,9
1367,0.0,8.5,21.6,1000.7,0,0,0,0,0,1,0,2016,2,10
1368,0.0,5.9,18.9,1008.9,0,0,0,0,0,1,0,2016,2,11
1369,0.0,6.0,16.2,1010.9,0,0,0,0,0,1,0,2016,2,12
1370,0.0,6.5,26.3,999.9,0,0,0,0,0,1,0,2016,2,13
1371,0.0,9.4,11.1,1000.9,0,0,0,0,0,1,0,2016,2,14
1372,0.0,9.55,7.5,1012.4,0,0,0,0,0,1,0,2016,2,15
1373,0.0,9.7,3.9,1023.9,0,0,0,0,0,1,0,2016,2,16
1374,0.0,11.2,27.5,1025.1,0,0,0,0,0,1,0,2016,2,17
1375,0.0,8.85,22.9,1021.0999999999999,0,0,0,0,0,1,0,2016,2,18
1376,0.0,6.5,18.3,1017.1,0,0,0,0,0,1,0,2016,2,19
1377,0.0,5.6,11.850000000000001,1023.8,0,0,0,0,0,1,0,2016,2,20
1378,0.0,6.0,5.4,1021.1,0,0,0,0,0,1,0,2016,2,21
1379,0.0,10.4,7.85,1016.8,0,0,0,0,0,1,0,2016,2,22
1380,0.0,10.6,10.3,1012.2,0,0,0,0,0,1,0,2016,2,23
1381,0.0,6.9,12.75,1013.7,0,0,0,0,0,1,0,2016,2,24
1382,0.0,5.1,15.2,1016.1,0,0,0,0,0,1,0,2016,2,25
1383,0.0,6.0,16.5,1012.0,0,0,0,0,0,1,0,2016,2,26
1384,0.0,6.4,9.6,1016.0,0,0,0,0,0,1,0,2016,2,27
1385,0.0,8.1,29.3,1019.2,0,0,0,0,0,1,0,2016,2,28
1386,0.0,10.4,31.8,1014.1,0,0,0,0,0,1,0,2016,2,29
1387,0.0,10.7,12.2,1011.5,0,0,0,0,0,1,0,2016,3,1
1388,0.0,9.35,14.9,1005.85,0,0,0,0,0,1,0,2016,3,2
1389,0.0,8.0,17.6,1000.2,0,0,0,0,0,1,0,2016,3,3
1390,0.0,6.7,11.3,1000.4,0,0,0,0,0,1,0,2016,3,4
1391,0.0,9.0,8.7,1009.3,0,0,0,0,0,1,0,2016,3,5
1392,0.0,11.0,17.7,1006.3,0,0,0,0,0,1,0,2016,3,6
1393,0.0,9.4,8.1,1003.7,0,0,0,0,0,1,0,2016,3,7
1394,0.0,9.3,6.4,1010.2,0,0,0,0,0,1,0,2016,3,8
1395,0.0,8.7,4.7,1011.3,0,0,0,0,0,1,0,2016,3,9
1396,0.0,10.1,5.7,1007.2,0,0,0,0,0,1,0,2016,3,10
1397,0.0,8.0,6.699999999999999,1015.1,0,0,0,0,0,1,0,2016,3,11
1398,0.0,8.7,7.699999999999999,1020.8,0,0,0,0,0,1,0,2016,3,12
1399,0.0,9.1,8.7,1021.1,0,0,0,0,0,1,0,2016,3,13
1400,0.0,7.7,7.1,1022.0,0,0,0,0,0,1,0,2016,3,14
1401,0.0,5.8,8.0,1019.6,0,0,0,0,0,1,0,2016,3,15
1402,0.0,6.5,20.9,1026.9,0,0,0,0,0,1,0,2016,3,16
1403,0.0,5.5,19.9,1028.1,0,0,0,0,0,1,0,2016,3,17
1404,0.0,5.5,18.9,1018.5,0,0,0,0,0,1,0,2016,3,18
1405,0.0,5.6,17.9,1015.2,0,0,0,0,0,1,0,2016,3,19
1406,0.0,8.5,16.9,1017.5,0,0,0,0,0,1,0,2016,3,20
