Unnamed: 0,AMBROSIA,tavg,wspd,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
7756,0.0,10.8,7.8,1013.5,0,1,0,0,0,0,0,2020,2,3
7757,0.0,8.1,22.75,1003.2,0,1,0,0,0,0,0,2020,2,4
7758,0.0,3.2,37.7,1003.7,0,1,0,0,0,0,0,2020,2,5
7759,0.0,0.2,22.2,1022.3,0,1,0,0,0,0,0,2020,2,6
7760,0.0,1.5,6.0,1025.1,0,1,0,0,0,0,0,2020,2,7
7761,0.0,-1.9,5.2,1031.0,0,1,0,0,0,0,0,2020,2,8
7762,0.0,1.8,8.7,1029.4,0,1,0,0,0,0,0,2020,2,9
7763,0.0,8.9,31.8,1015.7,0,1,0,0,0,0,0,2020,2,10
7764,0.0,6.1,17.4,1009.6,0,1,0,0,0,0,0,2020,2,11
7765,0.0,4.9,9.4,1018.6,0,1,0,0,0,0,0,2020,2,12
7766,0.0,6.7,18.6,1022.5,0,1,0,0,0,0,0,2020,2,13
7767,0.0,7.3,20.8,1017.1,0,1,0,0,0,0,0,2020,2,14
7768,0.0,3.3,5.6,1028.0,0,1,0,0,0,0,0,2020,2,15
7769,0.0,5.9,19.1,1029.6,0,1,0,0,0,0,0,2020,2,16
7770,0.0,10.7,20.5,1022.9,0,1,0,0,0,0,0,2020,2,17
7771,0.0,6.5,7.7,1022.3,0,1,0,0,0,0,0,2020,2,18
7772,0.0,6.1,7.3,1021.0,0,1,0,0,0,0,0,2020,2,19
7773,0.0,4.4,10.3,1021.8,0,1,0,0,0,0,0,2020,2,20
7774,0.0,2.2,8.6,1024.1,0,1,0,0,0,0,0,2020,2,21
7775,0.0,3.5,6.0,1030.2,0,1,0,0,0,0,0,2020,2,22
7776,0.0,8.9,19.7,1022.0,0,1,0,0,0,0,0,2020,2,23
7777,0.0,9.3,17.7,1018.0,0,1,0,0,0,0,0,2020,2,24
7778,0.0,10.8,18.8,1010.2,0,1,0,0,0,0,0,2020,2,25
7779,0.0,11.7,14.850000000000001,999.3,0,1,0,0,0,0,0,2020,2,26
7780,0.0,4.4,10.9,1005.9,0,1,0,0,0,0,0,2020,2,27
7781,0.0,3.5,23.8,1010.1,0,1,0,0,0,0,0,2020,2,28
7782,0.0,4.2,16.9,1018.3,0,1,0,0,0,0,0,2020,2,29
7783,0.0,10.8,33.1,1011.0,0,1,0,0,0,0,0,2020,3,1
7784,0.0,13.6,29.8,1004.2,0,1,0,0,0,0,0,2020,3,2
7785,0.0,15.9,30.6,1001.7,0,1,0,0,0,0,0,2020,3,3
7786,0.0,8.3,12.5,1007.3,0,1,0,0,0,0,0,2020,3,4
7787,0.0,5.5,8.2,1010.6,0,1,0,0,0,0,0,2020,3,5
7788,0.0,8.6,34.7,1003.4,0,1,0,0,0,0,0,2020,3,6
7789,0.0,8.9,14.9,1009.7,0,1,0,0,0,0,0,2020,3,7
7790,0.0,5.0,5.5,1017.9,0,1,0,0,0,0,0,2020,3,8
7791,0.0,6.4,6.1,1014.7,0,1,0,0,0,0,0,2020,3,9
7792,0.0,6.6,8.8,1014.2,0,1,0,0,0,0,0,2020,3,10
7793,0.0,10.4,7.7,1017.6,0,1,0,0,0,0,0,2020,3,11
7794,0.0,16.0,17.6,1017.4,0,1,0,0,0,0,0,2020,3,12
7795,0.0,12.6,13.3,1014.5,0,1,0,0,0,0,0,2020,3,13
7796,0.0,8.2,7.0,1019.6,0,1,0,0,0,0,0,2020,3,14
7797,0.0,5.7,18.6,1024.8,0,1,0,0,0,0,0,2020,3,15
7798,0.0,7.2,38.2,1030.0,0,1,0,0,0,0,0,2020,3,16
7799,0.0,10.0,18.9,1027.7,0,1,0,0,0,0,0,2020,3,17
7800,0.0,7.1,6.6,1028.4,0,1,0,0,0,0,0,2020,3,18
7801,0.0,12.1,5.75,1025.7,0,1,0,0,0,0,0,2020,3,19
7802,0.0,10.1,4.9,1020.8,0,1,0,0,0,0,0,2020,3,20
7803,0.0,10.9,9.3,1014.5,0,1,0,0,0,0,0,2020,3,21
7804,0.0,5.3,19.9,1021.9,0,1,0,0,0,0,0,2020,3,22
7805,0.0,0.7,14.9,1024.6,0,1,0,0,0,0,0,2020,3,23
7806,0.0,1.4,10.6,1024.5,0,1,0,0,0,0,0,2020,3,24
7807,0.0,3.2,11.0,1026.2,0,1,0,0,0,0,0,2020,3,25
7808,0.0,7.7,10.8,1021.6,0,1,0,0,0,0,0,2020,3,26
7809,0.0,10.3,11.1,1018.4,0,1,0,0,0,0,0,2020,3,27
7810,0.0,9.3,6.5,1014.1,0,1,0,0,0,0,0,2020,3,28
7811,0.0,7.95,10.0,1014.95,0,1,0,0,0,0,0,2020,3,29
7812,0.0,6.6,13.5,1015.8,0,1,0,0,0,0,0,2020,3,30
7813,0.0,3.4,12.6,1021.6,0,1,0,0,0,0,0,2020,3,31
7814,0.0,3.8,6.7,1021.1,0,1,0,0,0,0,0,2020,4,1
7815,0.0,6.6,11.6,1016.9,0,1,0,0,0,0,0,2020,4,2
7816,0.0,9.3,14.3,1017.45,0,1,0,0,0,0,0,2020,4,3
7817,0.0,8.9,5.2,1018.0,0,1,0,0,0,0,0,2020,4,4
