Unnamed: 0,AMBROSIA,batch_id,tavg,wspd,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
0,0,1,7.9,10.4,1020.7,1,0,0,0,0,0,0,2022,2,14
1,0,1,11.3,9.2,1016.6,1,0,0,0,0,0,0,2022,2,15
2,0,1,9.0,4.9,1015.8,1,0,0,0,0,0,0,2022,2,16
3,0,1,10.3,6.3,1008.3,1,0,0,0,0,0,0,2022,2,17
4,0,1,10.6,8.4,1016.3,1,0,0,0,0,0,0,2022,2,18
5,0,1,10.7,9.3,1016.1,1,0,0,0,0,0,0,2022,2,19
6,0,1,7.2,6.0,1019.6,1,0,0,0,0,0,0,2022,2,20
7,0,1,9.6,8.2,1009.3,1,0,0,0,0,0,0,2022,2,21
8,0,1,6.7,7.4,1013.3,1,0,0,0,0,0,0,2022,2,22
9,0,1,5.2,7.3,1024.1,1,0,0,0,0,0,0,2022,2,23
10,0,8,2.6,6.1,1025.6,1,0,0,0,0,0,0,2022,2,28
11,0,8,2.4,6.2,1027.1,1,0,0,0,0,0,0,2022,3,1
12,0,8,3.3,6.9,1022.4,1,0,0,0,0,0,0,2022,3,2
13,0,8,4.4,9.1,1017.1,1,0,0,0,0,0,0,2022,3,3
14,0,8,3.6,7.3,1016.2,1,0,0,0,0,0,0,2022,3,4
15,0,8,2.7,6.9,1018.7,1,0,0,0,0,0,0,2022,3,5
16,0,8,2.0,10.5,1017.8,1,0,0,0,0,0,0,2022,3,6
17,0,8,1.3,5.8,1018.6,1,0,0,0,0,0,0,2022,3,7
18,0,8,1.7,6.3,1020.4,1,0,0,0,0,0,0,2022,3,8
19,0,8,1.8,6.3,1021.9,1,0,0,0,0,0,0,2022,3,9
20,0,15,6.9,10.1,1032.9,1,0,0,0,0,0,0,2022,3,14
21,0,15,9.5,5.3,1032.2,1,0,0,0,0,0,0,2022,3,15
22,0,15,10.9,5.5,1023.1,1,0,0,0,0,0,0,2022,3,16
23,0,15,6.0,9.5,1030.3,1,0,0,0,0,0,0,2022,3,17
24,0,15,4.9,9.9,1038.3,1,0,0,0,0,0,0,2022,3,18
25,0,15,5.4,8.1,1038.9,1,0,0,0,0,0,0,2022,3,19
26,0,15,5.0,11.6,1040.5,1,0,0,0,0,0,0,2022,3,20
27,0,15,6.1,4.8,1037.4,1,0,0,0,0,0,0,2022,3,21
28,0,15,8.9,5.2,1033.5,1,0,0,0,0,0,0,2022,3,22
29,0,15,11.7,5.7,1029.9,1,0,0,0,0,0,0,2022,3,23
30,0,22,13.4,5.4,1024.7,1,0,0,0,0,0,0,2022,3,28
31,0,22,14.8,5.4,1012.7,1,0,0,0,0,0,0,2022,3,29
32,0,22,15.7,8.2,1006.7,1,0,0,0,0,0,0,2022,3,30
33,0,22,14.3,12.2,997.2,1,0,0,0,0,0,0,2022,3,31
34,0,22,14.3,10.5,993.9,1,0,0,0,0,0,0,2022,4,1
35,0,22,7.4,9.4,1001.3,1,0,0,0,0,0,0,2022,4,2
36,0,22,3.4,11.7,1013.4,1,0,0,0,0,0,0,2022,4,3
37,0,22,5.8,6.3,1020.1,1,0,0,0,0,0,0,2022,4,4
38,0,22,10.7,6.6,1012.3,1,0,0,0,0,0,0,2022,4,5
39,0,22,16.2,8.6,1009.4,1,0,0,0,0,0,0,2022,4,6
40,0,29,7.1,7.8,1021.7,1,0,0,0,0,0,0,2022,4,11
41,0,29,11.8,5.4,1020.9,1,0,0,0,0,0,0,2022,4,12
42,0,29,12.2,5.4,1021.1,1,0,0,0,0,0,0,2022,4,13
43,0,29,13.5,5.1,1021.1,1,0,0,0,0,0,0,2022,4,14
44,0,29,17.2,4.6,1018.1,1,0,0,0,0,0,0,2022,4,15
45,0,29,12.6,8.1,1019.0,1,0,0,0,0,0,0,2022,4,16
46,0,29,8.5,8.5,1019.3,1,0,0,0,0,0,0,2022,4,17
47,0,29,7.5,7.2,1015.3,1,0,0,0,0,0,0,2022,4,18
48,0,29,8.7,5.5,1013.0,1,0,0,0,0,0,0,2022,4,19
49,0,29,7.6,4.7,1014.4,1,0,0,0,0,0,0,2022,4,20
50,0,36,19.7,5.8,1021.1,1,0,0,0,0,0,0,2022,5,9
51,0,36,17.6,5.6,1020.6,1,0,0,0,0,0,0,2022,5,10
52,0,36,19.4,4.8,1019.8,1,0,0,0,0,0,0,2022,5,11
53,0,36,22.8,4.8,1018.6,1,0,0,0,0,0,0,2022,5,12
54,0,36,24.1,5.5,1016.2,1,0,0,0,0,0,0,2022,5,13
55,0,36,22.7,7.0,1016.9,1,0,0,0,0,0,0,2022,5,14
56,0,36,21.0,5.4,1018.6,1,0,0,0,0,0,0,2022,5,15
57,0,36,22.8,4.9,1018.0,1,0,0,0,0,0,0,2022,5,16
58,0,36,21.9,6.3,1015.2,1,0,0,0,0,0,0,2022,5,17
59,0,36,17.6,11.4,1021.7,1,0,0,0,0,0,0,2022,5,18
60,0,43,20.9,5.3,1010.9,1,0,0,0,0,0,0,2022,5,23
61,0,43,23.4,9.6,1008.3,1,0,0,0,0,0,0,2022,5,24
62,0,43,25.7,8.9,1011.3,1,0,0,0,0,0,0,2022,5,25
63,0,43,23.2,6.9,1020.7,1,0,0,0,0,0,0,2022,5,26
64,1,43,24.4,5.6,1017.5,1,0,0,0,0,0,0,2022,5,27
65,0,43,17.4,7.1,1014.0,1,0,0,0,0,0,0,2022,5,28
66,0,43,13.9,4.1,1011.1,1,0,0,0,0,0,0,2022,5,29
67,0,43,17.8,5.8,1011.6,1,0,0,0,0,0,0,2022,5,30
68,0,43,19.0,5.1,1016.2,1,0,0,0,0,0,0,2022,5,31
69,0,43,22.6,4.8,1015.1,1,0,0,0,0,0,0,2022,6,1
70,0,50,23.5,6.7,1014.0,1,0,0,0,0,0,0,2022,6,6
71,0,50,24.6,9.2,1012.0,1,0,0,0,0,0,0,2022,6,7
72,0,50,22.0,8.5,1008.6,1,0,0,0,0,0,0,2022,6,8
73,0,50,22.3,7.8,1005.6,1,0,0,0,0,0,0,2022,6,9
74,0,50,22.4,5.3,1009.6,1,0,0,0,0,0,0,2022,6,10
75,0,50,21.2,6.1,1013.8,1,0,0,0,0,0,0,2022,6,11
76,0,50,23.6,6.5,1015.4,1,0,0,0,0,0,0,2022,6,12
77,0,50,24.2,5.1,1014.5,1,0,0,0,0,0,0,2022,6,13
78,0,50,22.3,6.3,1018.7,1,0,0,0,0,0,0,2022,6,14
79,0,50,21.4,4.7,1020.3,1,0,0,0,0,0,0,2022,6,15
80,1,57,27.3,6.4,1011.3,1,0,0,0,0,0,0,2022,6,20
81,0,57,26.5,6.5,1010.3,1,0,0,0,0,0,0,2022,6,21
82,0,57,24.0,6.1,1012.7,1,0,0,0,0,0,0,2022,6,22
83,0,57,21.1,6.1,1013.1,1,0,0,0,0,0,0,2022,6,23
84,0,57,24.8,5.5,1013.0,1,0,0,0,0,0,0,2022,6,24
85,0,57,24.1,5.6,1011.4,1,0,0,0,0,0,0,2022,6,25
86,0,57,23.8,4.7,1014.9,1,0,0,0,0,0,0,2022,6,26
87,0,57,26.7,4.9,1016.1,1,0,0,0,0,0,0,2022,6,27
88,1,57,28.5,4.9,1015.6,1,0,0,0,0,0,0,2022,6,28
89,0,57,28.9,11.8,1012.4,1,0,0,0,0,0,0,2022,6,29
90,0,64,23.2,5.3,1023.7,1,0,0,0,0,0,0,2022,7,18
91,0,64,24.7,4.4,1021.4,1,0,0,0,0,0,0,2022,7,19
92,0,64,26.7,4.3,1019.7,1,0,0,0,0,0,0,2022,7,20
93,0,64,28.6,4.1,1016.4,1,0,0,0,0,0,0,2022,7,21
94,0,64,28.8,4.7,1015.7,1,0,0,0,0,0,0,2022,7,22
95,0,64,30.5,4.1,1014.4,1,0,0,0,0,0,0,2022,7,23
96,0,64,28.5,6.1,1015.7,1,0,0,0,0,0,0,2022,7,24
97,1,64,27.6,5.2,1014.4,1,0,0,0,0,0,0,2022,7,25
98,0,64,28.8,5.7,1009.8,1,0,0,0,0,0,0,2022,7,26
