Unnamed: 0,AMBROSIA,tavg,prcp,wdir,wspd,wpgt,pres,BG,VS,KS,KG,NIS,PO,SU,year,month,day
0,0.0,12.1,0.0,,,,,1,0,0,0,0,0,0,2016,2,2
1,0.0,12.6,5.2,,,,,1,0,0,0,0,0,0,2016,2,3
2,0.0,4.5,0.5,,,,,1,0,0,0,0,0,0,2016,2,4
3,0.0,2.4,0.0,,,,,1,0,0,0,0,0,0,2016,2,5
4,0.0,4.4,0.0,,,,,1,0,0,0,0,0,0,2016,2,6
5,0.0,7.4,0.0,,,,,1,0,0,0,0,0,0,2016,2,7
6,0.0,9.6,0.0,,,,,1,0,0,0,0,0,0,2016,2,8
7,0.0,14.0,0.0,,,,,1,0,0,0,0,0,0,2016,2,9
8,0.0,9.6,2.8,,,,,1,0,0,0,0,0,0,2016,2,10
9,0.0,7.0,0.0,,,,,1,0,0,0,0,0,0,2016,2,11
10,0.0,7.7,0.2,,,,,1,0,0,0,0,0,0,2016,2,12
11,0.0,8.1,3.9,,,,,1,0,0,0,0,0,0,2016,2,13
12,0.0,12.9,0.0,,,,,1,0,0,0,0,0,0,2016,2,14
13,0.0,14.5,7.3,,,,,1,0,0,0,0,0,0,2016,2,15
14,0.0,9.2,0.0,,,,,1,0,0,0,0,0,0,2016,2,16
15,0.0,10.7,0.0,,,,,1,0,0,0,0,0,0,2016,2,17
16,0.0,8.7,3.3,,,,,1,0,0,0,0,0,0,2016,2,18
17,0.0,7.3,0.9,,,,,1,0,0,0,0,0,0,2016,2,19
18,0.0,6.2,0.0,,,,,1,0,0,0,0,0,0,2016,2,20
19,0.0,8.3,0.2,,,,,1,0,0,0,0,0,0,2016,2,21
20,0.0,13.3,0.1,,,,,1,0,0,0,0,0,0,2016,2,22
21,0.0,14.0,4.2,,,,,1,0,0,0,0,0,0,2016,2,23
22,0.0,7.3,0.1,,,,,1,0,0,0,0,0,0,2016,2,24
23,0.0,6.0,2.7,,,,,1,0,0,0,0,0,0,2016,2,25
24,0.0,5.2,6.3,,,,,1,0,0,0,0,0,0,2016,2,26
