Unnamed: 0,date,AMBROSIA,batch_id,tavg,prcp,wdir,wspd,wpgt,pres,city_БЕОГРАД - НОВИ БЕОГРАД,city_ВРШАЦ,city_КРАЉЕВО,city_КРАГУЈЕВАЦ,city_НИШ,city_ПОЖАРЕВАЦ,city_СУБОТИЦА
0,2022-02-14,0,1,7.9,0.0,152.0,10.4,25.9,1020.7,1,0,0,0,0,0,0
1,2022-02-15,0,1,11.3,0.0,146.0,9.2,20.4,1016.6,1,0,0,0,0,0,0
2,2022-02-16,0,1,9.0,1.5,162.0,4.9,18.5,1015.8,1,0,0,0,0,0,0
3,2022-02-17,0,1,10.3,0.0,190.0,6.3,18.5,1008.3,1,0,0,0,0,0,0
4,2022-02-18,0,1,10.6,0.5,250.0,8.4,24.1,1016.3,1,0,0,0,0,0,0
5,2022-02-19,0,1,10.7,0.0,53.0,9.3,27.8,1016.1,1,0,0,0,0,0,0
6,2022-02-20,0,1,7.2,0.5,256.0,6.0,16.7,1019.6,1,0,0,0,0,0,0
7,2022-02-21,0,1,9.6,0.3,122.0,8.2,47.0,1009.3,1,0,0,0,0,0,0
8,2022-02-22,0,1,6.7,4.6,300.0,7.4,20.4,1013.3,1,0,0,0,0,0,0
9,2022-02-23,0,1,5.2,0.0,270.0,7.3,18.5,1024.1,1,0,0,0,0,0,0
10,2022-02-28,0,8,2.6,2.8,279.0,6.1,13.0,1025.6,1,0,0,0,0,0,0
11,2022-03-01,0,8,2.4,0.0,270.0,6.2,14.8,1027.1,1,0,0,0,0,0,0
12,2022-03-02,0,8,3.3,0.0,297.0,6.9,16.7,1022.4,1,0,0,0,0,0,0
13,2022-03-03,0,8,4.4,0.0,258.0,9.1,18.5,1017.1,1,0,0,0,0,0,0
14,2022-03-04,0,8,3.6,0.0,273.0,7.3,18.5,1016.2,1,0,0,0,0,0,0
15,2022-03-05,0,8,2.7,0.0,28.0,6.9,16.7,1018.7,1,0,0,0,0,0,0
16,2022-03-06,0,8,2.0,0.0,76.0,10.5,50.0,1017.8,1,0,0,0,0,0,0
17,2022-03-07,0,8,1.3,2.5,336.0,5.8,14.8,1018.6,1,0,0,0,0,0,0
18,2022-03-08,0,8,1.7,3.8,308.0,6.3,16.7,1020.4,1,0,0,0,0,0,0
19,2022-03-09,0,8,1.8,0.0,317.0,6.3,24.1,1021.9,1,0,0,0,0,0,0
20,2022-03-14,0,15,6.9,0.0,136.0,10.1,40.0,1032.9,1,0,0,0,0,0,0
21,2022-03-15,0,15,9.5,0.0,112.0,5.3,14.8,1032.2,1,0,0,0,0,0,0
22,2022-03-16,0,15,10.9,0.0,331.0,5.5,16.7,1023.1,1,0,0,0,0,0,0
23,2022-03-17,0,15,6.0,0.3,97.0,9.5,25.9,1030.3,1,0,0,0,0,0,0
24,2022-03-18,0,15,4.9,0.0,113.0,9.9,27.8,1038.3,1,0,0,0,0,0,0
25,2022-03-19,0,15,5.4,0.0,118.0,8.1,24.1,1038.9,1,0,0,0,0,0,0
26,2022-03-20,0,15,5.0,0.0,92.0,11.6,40.0,1040.5,1,0,0,0,0,0,0
27,2022-03-21,0,15,6.1,0.0,1.0,4.8,14.8,1037.4,1,0,0,0,0,0,0
28,2022-03-22,0,15,8.9,0.0,315.0,5.2,16.7,1033.5,1,0,0,0,0,0,0
29,2022-03-23,0,15,11.7,0.0,61.0,5.7,14.8,1029.9,1,0,0,0,0,0,0
30,2022-03-28,0,22,13.4,0.0,109.0,5.4,16.7,1024.7,1,0,0,0,0,0,0
31,2022-03-29,0,22,14.8,0.0,221.0,5.4,18.5,1012.7,1,0,0,0,0,0,0
32,2022-03-30,0,22,15.7,0.0,193.0,8.2,18.5,1006.7,1,0,0,0,0,0,0
33,2022-03-31,0,22,14.3,0.0,141.0,12.2,43.0,997.2,1,0,0,0,0,0,0
34,2022-04-01,0,22,14.3,9.1,153.0,10.5,27.8,993.9,1,0,0,0,0,0,0
